id,vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,dist_km,speed_km,banderazo,tarifa_dist,tarifa_tiempo,tarifa_min,costo_viaje_sin_min,costo_viaje_sobre_min,municipios_origen,municipios_destino
37,Taxi de Sitio,19/09/2016 02:32,19/09/2016 02:41,-99.17968407,19.4387048,-99.17265096,19.43318468,0.145277778,1447,326,1.447,9.960229446,13.1,1.3,1.3,13.1,30.04217778,30.04217778,Miguel Hidalgo,Miguel Hidalgo
38,Taxi de Sitio,19/09/2016 02:24,19/09/2016 02:53,-99.19884042,19.39739477,-99.16918892,19.42418931,0.496388889,8351,660,8.351,16.82350308,13.1,1.3,1.3,13.1,75.59186667,75.59186667,¡Ålvaro ObregÛn,CuauhtÈmoc
39,Taxi de Sitio,19/09/2016 03:06,19/09/2016 03:10,-99.17960413,19.43851605,-99.17432645,19.44283915,0.080555556,1064,124,1.064,13.20827586,13.1,1.3,1.3,13.1,22.21502222,22.21502222,Miguel Hidalgo,Miguel Hidalgo
40,UberX,19/09/2016 02:39,19/09/2016 03:20,-99.16040292,19.43904054,-99.17382329,19.39032054,0.686111111,7706,1309,7.706,11.231417,7,3.57,1.8,35,73.78042,73.78042,CuauhtÈmoc,Benito Ju·rez
41,Taxi de Sitio,19/09/2016 03:30,19/09/2016 03:39,-99.1795098,19.43871512,-99.17432343,19.43909732,0.148611111,866,97,0.866,5.82728972,13.1,1.3,1.3,13.1,20.40542222,20.40542222,Miguel Hidalgo,Miguel Hidalgo
42,Taxi Libre,19/09/2016 03:41,19/09/2016 03:59,-99.15145253,19.46627291,-99.16676179,19.43522525,0.298888889,5356,471,5.356,17.9197026,8.74,1.07,1.07,8.74,42.86301333,42.86301333,Azcapotzalco,CuauhtÈmoc
43,Taxi de Sitio,19/09/2016 03:39,19/09/2016 04:07,-99.1796316,19.43871344,-99.16576773,19.44422074,0.457777778,6902,833,6.902,15.07718447,13.1,1.3,1.3,13.1,73.05484444,73.05484444,Miguel Hidalgo,Miguel Hidalgo
44,Taxi de Sitio,19/09/2016 04:40,19/09/2016 04:50,-99.17952832,19.43873099,-99.16335011,19.44284192,0.156944444,2989,178,2.989,19.04495575,13.1,1.3,1.3,13.1,33.78502222,33.78502222,Miguel Hidalgo,CuauhtÈmoc
45,Taxi de Sitio,19/09/2016 05:24,19/09/2016 05:31,-99.17950117,19.43866756,-99.17296069,19.44452018,0.125833333,2441,109,2.441,19.3986755,13.1,1.3,1.3,13.1,28.94208889,28.94208889,Miguel Hidalgo,Miguel Hidalgo
47,Taxi de Sitio,19/09/2016 07:29,19/09/2016 07:34,-99.17942053,19.43860953,-99.17404116,19.43492501,0.081666667,829,156,0.829,10.15102041,13.1,1.3,1.3,13.1,21.91746667,21.91746667,Miguel Hidalgo,Miguel Hidalgo
48,Taxi de Sitio,19/09/2016 07:44,19/09/2016 07:59,-99.17939461,19.43875494,-99.18214155,19.44816225,0.255277778,2819,446,2.819,11.04287269,13.1,1.3,1.3,13.1,40.64324444,40.64324444,Miguel Hidalgo,Miguel Hidalgo
49,Taxi de Sitio,19/09/2016 08:08,19/09/2016 08:16,-99.17932942,19.43865838,-99.17276556,19.44909354,0.139444444,1908,203,1.908,13.68286853,13.1,1.3,1.3,13.1,28.88604444,28.88604444,Miguel Hidalgo,Miguel Hidalgo
50,Radio Taxi,19/09/2016 08:33,19/09/2016 08:40,-99.06729633,19.47939885,-99.05611376,19.46243379,0.119166667,3741,86,3.741,31.39300699,27.6,1.84,1.84,27.6,58.65020444,58.65020444,Gustavo A. Madero,NezahualcÛyotl
51,Taxi de Sitio,19/09/2016 09:05,19/09/2016 09:44,-99.17950588,19.43862678,-99.17689007,19.43969633,0.650833333,2362,1977,2.362,3.629193342,13.1,1.3,1.3,13.1,82.49573333,82.49573333,Miguel Hidalgo,Miguel Hidalgo
52,Taxi Libre,19/09/2016 09:45,19/09/2016 09:57,-99.2743226,19.33553104,-99.28512902,19.34628964,0.205277778,6740,89,6.74,32.83355886,8.74,1.07,1.07,8.74,39.70342222,39.70342222,¡Ålvaro ObregÛn,Cuajimalpa de Morelos
53,Taxi de Sitio,19/09/2016 09:45,19/09/2016 10:00,-99.1794758,19.43859797,-99.1829258,19.44265211,0.260833333,3383,246,3.383,12.96996805,13.1,1.3,1.3,13.1,37.79826667,37.79826667,Miguel Hidalgo,Miguel Hidalgo
54,Taxi Libre,19/09/2016 09:59,19/09/2016 10:09,-99.28702192,19.34502905,-99.27496029,19.33273376,0.178333333,3548,65,3.548,19.8953271,8.74,1.07,1.07,8.74,25.47099556,25.47099556,Cuajimalpa de Morelos,¡Ålvaro ObregÛn
56,Taxi Libre,19/09/2016 11:02,19/09/2016 11:13,-99.28643986,19.32985678,-99.29719437,19.32132432,0.170555556,3071,50,3.071,18.00586319,8.74,1.07,1.07,8.74,23.07276889,23.07276889,Cuajimalpa de Morelos,Cuajimalpa de Morelos
59,Taxi Libre,20/09/2016 06:23,20/09/2016 06:33,-99.20122515,19.39126332,-99.18822134,19.40110097,0.167222222,1899,170,1.899,11.35614618,8.74,1.07,1.07,8.74,20.90994222,20.90994222,¡Ålvaro ObregÛn,Miguel Hidalgo
60,Taxi de Sitio,20/09/2016 07:42,20/09/2016 08:04,-99.20348098,19.38064947,-99.21087385,19.39996434,0.373888889,4732,567,4.732,12.65616642,13.1,1.3,1.3,13.1,54.0864,54.0864,¡Ålvaro ObregÛn,¡Ålvaro ObregÛn
64,Taxi de Sitio,20/09/2016 10:55,20/09/2016 11:14,-99.17363414,19.38979949,-99.18981532,19.35601325,0.315,5887,471,5.887,18.68888889,13.1,1.3,1.3,13.1,57.31906667,57.31906667,Benito Ju·rez,¡Ålvaro ObregÛn
66,Taxi de Sitio,20/09/2016 12:36,20/09/2016 12:43,-99.17955827,19.43856396,-99.18491438,19.43528448,0.120277778,1274,228,1.274,10.59214781,13.1,1.3,1.3,13.1,26.31146667,26.31146667,Miguel Hidalgo,Miguel Hidalgo
69,Taxi de Sitio,20/09/2016 02:07,20/09/2016 02:50,-99.1795009,19.43866712,-99.17965625,19.43859667,0.706944444,3460,1666,3.46,4.894302554,13.1,1.3,1.3,13.1,79.22088889,79.22088889,Miguel Hidalgo,Miguel Hidalgo
70,Taxi de Sitio,20/09/2016 02:50,20/09/2016 03:14,-99.17956415,19.43852791,-99.16833318,19.43026282,0.398055556,3559,863,3.559,8.940963015,13.1,1.3,1.3,13.1,56.53791111,56.53791111,Miguel Hidalgo,CuauhtÈmoc
71,Taxi Libre,20/09/2016 03:20,20/09/2016 03:23,-99.13267606,19.48163887,-99.13286234,19.47729882,0.040833333,829,12,0.829,20.30204082,8.74,1.07,1.07,8.74,12.57345333,12.57345333,Gustavo A. Madero,Gustavo A. Madero
72,Taxi de Sitio,20/09/2016 03:27,20/09/2016 03:34,-99.17960945,19.43847512,-99.174511,19.44046935,0.122222222,1455,207,1.455,11.90454545,13.1,1.3,1.3,13.1,26.646,26.646,Miguel Hidalgo,Miguel Hidalgo
73,Taxi de Sitio,20/09/2016 03:52,20/09/2016 04:21,-99.17956186,19.43850736,-99.15170689,19.44407779,0.483333333,7214,807,7.214,14.92551724,13.1,1.3,1.3,13.1,73.92613333,73.92613333,Miguel Hidalgo,CuauhtÈmoc
76,Taxi de Sitio,20/09/2016 07:05,20/09/2016 07:24,-99.1795831,19.43858045,-99.16560421,19.44516566,0.315277778,3880,478,3.88,12.30660793,13.1,1.3,1.3,13.1,47.08488889,47.08488889,Miguel Hidalgo,Miguel Hidalgo
77,Taxi Libre,20/09/2016 12:55,20/09/2016 01:03,-99.28566983,19.32610562,-99.29729064,19.32172569,0.143333333,4510,58,4.51,31.46511628,8.74,1.07,1.07,8.74,29.42191111,29.42191111,¡Ålvaro ObregÛn,Cuajimalpa de Morelos
78,Taxi Libre,20/09/2016 07:57,20/09/2016 08:20,-99.27655711,19.34434622,-99.28361157,19.32771066,0.373888889,6589,394,6.589,17.62288262,8.74,1.07,1.07,8.74,46.30936444,46.30936444,Cuajimalpa de Morelos,¡Ålvaro ObregÛn
79,Taxi de Sitio,20/09/2016 08:19,20/09/2016 08:44,-99.17970301,19.43870496,-99.21801401,19.45213684,0.411944444,5805,363,5.805,14.091706,13.1,1.3,1.3,13.1,53.77266667,53.77266667,Miguel Hidalgo,Miguel Hidalgo
80,Taxi de Sitio,20/09/2016 08:05,20/09/2016 08:56,-99.12363379,19.4567402,-99.13403925,19.41511321,0.846111111,5080,57,5.08,6.003939593,13.1,1.3,1.3,13.1,41.16266667,41.16266667,Venustiano Carranza,CuauhtÈmoc
82,Taxi de Sitio,20/09/2016 09:09,20/09/2016 09:39,-99.17947849,19.43866265,-99.17946185,19.43865279,0.498888889,5235,200,5.235,10.49331849,13.1,1.3,1.3,13.1,46.09977778,46.09977778,Miguel Hidalgo,Miguel Hidalgo
84,Taxi Libre,20/09/2016 08:21,20/09/2016 08:32,-99.28276466,19.33028921,-99.28346605,19.32674113,0.182222222,3311,119,3.311,18.17012195,8.74,1.07,1.07,8.74,25.74063556,25.74063556,¡Ålvaro ObregÛn,¡Ålvaro ObregÛn
85,Radio Taxi,21/09/2016 08:10,21/09/2016 08:33,-99.21514902,19.28547621,-99.20061249,19.3039567,0.393333333,4184,570,4.184,10.63728814,27.6,1.84,1.84,27.6,81.70090667,81.70090667,Tlalpan,Tlalpan
87,Taxi Libre,21/09/2016 08:59,21/09/2016 09:06,-99.1461605,19.28849711,-99.1491545,19.29941245,0.126111111,1605,185,1.605,12.72687225,8.74,1.07,1.07,8.74,20.00828889,20.00828889,Tlalpan,Tlalpan
90,Taxi de Sitio,21/09/2016 12:38,21/09/2016 12:44,-99.17964554,19.43838757,-99.18138247,19.44531393,0.091388889,1088,182,1.088,11.90516717,13.1,1.3,1.3,13.1,24.01537778,24.01537778,Miguel Hidalgo,Miguel Hidalgo
91,Taxi de Sitio,21/09/2016 12:47,21/09/2016 12:52,-99.17957986,19.43868267,-99.18432095,19.43698881,0.080555556,812,173,0.812,10.08,13.1,1.3,1.3,13.1,22.32017778,22.32017778,Miguel Hidalgo,Miguel Hidalgo
92,Taxi de Sitio,21/09/2016 01:42,21/09/2016 02:07,-99.17952343,19.43866135,-99.1794732,19.43800939,0.418333333,2960,1161,2.96,7.075697211,13.1,1.3,1.3,13.1,62.032,62.032,Miguel Hidalgo,Miguel Hidalgo
93,Taxi Libre,21/09/2016 02:28,21/09/2016 02:35,-99.18544076,19.48450005,-99.17989205,19.47726425,0.13,1743,156,1.743,13.40769231,8.74,1.07,1.07,8.74,19.90937333,19.90937333,Azcapotzalco,Azcapotzalco
94,Taxi de Sitio,21/09/2016 02:07,21/09/2016 02:39,-99.1795135,19.43860395,-99.15096096,19.42657385,0.537777778,6614,1058,6.614,12.29876033,13.1,1.3,1.3,13.1,78.05724444,78.05724444,Miguel Hidalgo,CuauhtÈmoc
97,Taxi de Sitio,21/09/2016 03:59,21/09/2016 04:08,-99.17949718,19.4385952,-99.17552019,19.44228969,0.149722222,1998,204,1.998,13.34471243,13.1,1.3,1.3,13.1,29.38293333,29.38293333,Miguel Hidalgo,Miguel Hidalgo
99,Taxi de Sitio,21/09/2016 05:04,21/09/2016 05:14,-99.17952878,19.43874922,-99.17250139,19.44751006,0.161944444,2111,211,2.111,13.03533448,13.1,1.3,1.3,13.1,30.17275556,30.17275556,Miguel Hidalgo,Miguel Hidalgo
100,Radio Taxi,21/09/2016 04:46,21/09/2016 05:43,-99.16841722,19.42338025,-99.18002981,19.37311431,0.963055556,6529,974,6.529,6.779463513,27.6,1.84,1.84,27.6,115.4792178,115.4792178,CuauhtÈmoc,Benito Ju·rez
104,Taxi Libre,20/09/2016 11:57,21/09/2016 12:13,-99.27447453,19.33301141,-99.29292647,19.32211685,0.256388889,7505,296,7.505,29.27193933,8.74,1.07,1.07,8.74,47.89962222,47.89962222,¡Ålvaro ObregÛn,Cuajimalpa de Morelos
105,Radio Taxi,21/09/2016 11:43,22/09/2016 12:15,-99.18023688,19.37015462,-99.13444347,19.45301493,0.536666667,13238,1115,13.238,24.66708075,27.6,1.84,1.84,27.6,170.6227911,170.6227911,Benito Ju·rez,CuauhtÈmoc
107,Taxi de Sitio,22/09/2016 08:16,22/09/2016 08:45,-99.20062879,19.38220908,-99.15185408,19.36849272,0.477777778,6806,718,6.806,14.24511628,13.1,1.3,1.3,13.1,69.23342222,69.23342222,¡Ålvaro ObregÛn,Benito Ju·rez
108,Taxi Libre,21/04/2017 06:54,21/04/2017 07:19,-99.1718695,19.33265655,-99.14034066,19.302288,0.422222222,9492,223,9.492,22.48105263,8.74,1.07,1.07,8.74,54.66820444,54.66820444,Coyoac·n,Coyoac·n
109,Taxi Libre,21/04/2017 10:15,21/04/2017 10:31,-99.1432917,19.30227,-99.15182034,19.32004432,0.270555556,4324,220,4.324,15.98193018,8.74,1.07,1.07,8.74,32.47783111,32.47783111,Coyoac·n,Coyoac·n
