id,tipo_transporte,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,dist_km,speed_km,pickup_location,dropoff_location,banderazo,tarifa_dist,tarifa_tiempo,tarifa_min,costo_viaje_sin_min,costo_viaje_sobre_min
3,Taxi Libre,2016-09-18 10:11:50,2016-09-18 10:23:11,-99.28960285756659,19.326262567773302,-99.2718736003419,19.328530308412198,0.18916666666666668,2848,129,2.848,15.055506607929514,Cuajimalpa de Morelos,Álvaro Obregón,8.74,1.07,1.07,8.74,23.996773333333334,23.996773333333334
4,Taxi Libre,2016-09-18 10:23:38,2016-09-18 10:30:53,-99.2711609184774,19.328875160394198,-99.2798998325071,19.3262558086244,0.12111111111111111,1409,106,1.409,11.63394495412844,Álvaro Obregón,Álvaro Obregón,8.74,1.07,1.07,8.74,17.290964444444445,17.290964444444445
5,Taxi Libre,2016-09-18 10:44:18,2016-09-18 10:51:40,-99.28276056474199,19.326944254773103,-99.2917049335146,19.322753599128102,0.12277777777777778,1567,85,1.567,12.762895927601809,Álvaro Obregón,Cuajimalpa de Morelos,8.74,1.07,1.07,8.74,17.467871111111112,17.467871111111112
6,Taxi Libre,2016-09-18 10:58:07,2016-09-18 10:59:46,-99.2897117373175,19.322929090795697,-99.28928032,19.32597834,0.027777777777777776,797,19,0.797,28.692000000000004,Cuajimalpa de Morelos,Cuajimalpa de Morelos,8.74,1.07,1.07,8.74,12.602937777777779,12.602937777777779
7,Taxi Libre,2016-09-18 11:00:00,2016-09-18 11:05:45,-99.2853914251227,19.326246570615,-99.28254919422821,19.3281171303978,0.09583333333333334,676,169,0.676,7.053913043478261,Álvaro Obregón,Álvaro Obregón,8.74,1.07,1.07,8.74,15.651724444444445,15.651724444444445
8,Taxi Libre,2016-09-18 11:08:03,2016-09-18 11:17:06,-99.2858911590527,19.3300220658323,-99.289828,19.31916966,0.1511111111111111,3771,37,3.771,24.955147058823528,Cuajimalpa de Morelos,Álvaro Obregón,8.74,1.07,1.07,8.74,25.75965777777778,25.75965777777778
9,Radio Taxi,2016-09-18 01:06:08,2016-09-18 01:26:34,-99.1823461401054,19.370885297397002,-99.176534111828,19.341410149462398,0.34055555555555556,5662,572,5.662,16.625774877650898,Benito Juárez,Coyoacán,27.6,1.8399999999999999,1.8399999999999999,27.6,92.66076444444445,92.66076444444445
10,Taxi de Sitio,2016-09-18 03:42:18,2016-09-18 04:11:00,-99.0747945,19.41258924,-99.16123946198928,19.3817008296625,0.4786111111111111,14349,459,14.349,29.98049912942542,Venustiano Carranza,Benito Juárez,13.1,1.3,1.3,13.1,100.9748,100.9748
12,Taxi Libre,2016-09-18 11:28:56,2016-09-18 11:34:45,-99.2903399831339,19.331214373281103,-99.29489573340479,19.3206866935109,0.09694444444444444,1693,33,1.693,17.463610315186248,Cuajimalpa de Morelos,Cuajimalpa de Morelos,8.74,1.07,1.07,8.74,16.77070666666667,16.77070666666667
13,Taxi de Sitio,2016-09-18 04:12:21,2016-09-18 04:21:02,-99.1796294740394,19.4385894108745,-99.17910745304708,19.438777415883102,0.14472222222222222,2279,181,2.279,15.747408829174663,Miguel Hidalgo,Miguel Hidalgo,13.1,1.3,1.3,13.1,30.17968888888889,30.17968888888889
